Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,Q3,Q3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,Q1,TA,TA,CBlock,TA,TA,No,Rec,Q3,Unf,Q1,Q1,Q3,GasA,Ex,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,Q2,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,2,2008,WD,Normal,129500
12,60,RL,Q4,Q4,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,Q2,Ex,TA,PConc,Ex,TA,No,GLQ,Q3,Unf,Q1,Q1,Q3,GasA,Ex,Y,SBrkr,Q3,Q2,Q1,Q4,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,Q4,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,7,2006,New,Partial,345000
13,20,RL,Q1,Q4,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,Q1,TA,TA,CBlock,TA,TA,No,ALQ,Q3,Unf,Q1,Q1,Q2,GasA,TA,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,Q2,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,9,2008,WD,Normal,144000
14,20,RL,Q4,Q3,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Q2,Gd,TA,PConc,Gd,TA,Av,Unf,Q1,Unf,Q1,Q4,Q4,GasA,Ex,Y,SBrkr,Q4,Q1,Q1,Q3,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,Q4,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,8,2007,New,Partial,279500
15,20,RL,Q1,Q3,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,Q2,TA,TA,CBlock,TA,TA,No,BLQ,Q3,Unf,Q1,Q3,Q3,GasA,TA,Y,SBrkr,Q3,Q1,Q1,Q2,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,Q2,TA,TA,Y,Q1,Q3,Q1,Q1,Q1,Q1,,GdWo,,Q1,5,2008,WD,Normal,157000
16,45,RM,Q2,Q1,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,Q1,TA,TA,BrkTil,TA,TA,No,Unf,Q1,Unf,Q1,Q4,Q2,GasA,Ex,Y,FuseA,Q1,Q1,Q1,Q1,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,Q3,TA,TA,Y,Q1,Q3,Q1,Q1,Q1,Q1,,GdPrv,,Q1,7,2007,WD,Normal,132000
17,20,RL,Q1,Q3,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Q2,TA,TA,CBlock,TA,TA,No,ALQ,Q2,Unf,Q1,Q2,Q3,GasA,Ex,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,Q2,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,Shed,Q1,3,2010,WD,Normal,149000
18,90,RL,Q3,Q3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,Q1,TA,TA,Slab,,,,,Q1,,Q1,Q1,Q1,GasA,TA,Y,SBrkr,Q3,Q1,Q1,Q2,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,Q3,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,Shed,Q1,10,2006,WD,Normal,90000
19,20,RL,Q3,Q4,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,Q1,TA,TA,PConc,TA,TA,No,GLQ,Q2,Unf,Q1,Q2,Q3,GasA,Ex,Y,SBrkr,Q3,Q1,Q1,Q1,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,Q3,TA,TA,Y,Q1,Q3,Q1,Q1,Q1,Q1,,,,Q1,6,2008,WD,Normal,159000
20,20,RL,Q3,Q2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,Q1,TA,TA,CBlock,TA,TA,No,LwQ,Q2,Unf,Q1,Q3,Q3,GasA,TA,Y,SBrkr,Q3,Q1,Q1,Q2,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,Q1,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,MnPrv,,Q1,5,2009,COD,Abnorml,139000
21,60,RL,Q4,Q4,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,Q2,Gd,TA,PConc,Ex,TA,Av,Unf,Q1,Unf,Q1,Q4,Q3,GasA,Ex,Y,SBrkr,Q3,Q2,Q1,Q4,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,Q4,TA,TA,Y,Q2,Q3,Q1,Q1,Q1,Q1,,,,Q1,11,2006,New,Partial,325300
22,45,RM,Q2,Q1,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,Q1,TA,TA,PConc,TA,TA,No,Unf,Q1,Unf,Q1,Q3,Q1,GasA,Ex,Y,FuseF,Q3,Q1,Q1,Q1,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,Q1,TA,TA,N,Q1,Q1,Q1,Q1,Q1,Q1,,GdPrv,,Q1,6,2007,WD,Normal,139400
23,20,RL,Q3,Q3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,Q2,Gd,TA,PConc,Gd,TA,No,Unf,Q1,Unf,Q1,Q4,Q4,GasA,Ex,Y,SBrkr,Q4,Q1,Q1,Q4,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,Q3,TA,TA,Y,Q2,Q3,Q1,Q1,Q1,Q1,,,,Q1,9,2008,WD,Normal,230000
24,120,RM,Q2,Q1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,Q1,TA,TA,PConc,Gd,TA,No,GLQ,Q3,Unf,Q1,Q1,Q3,GasA,TA,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,Q3,TA,TA,Y,Q1,Q3,Q1,Q1,Q1,Q1,,,,Q1,6,2007,WD,Normal,129900
25,20,RL,Q1,Q2,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,Q1,TA,Gd,CBlock,TA,TA,Mn,Rec,Q1,ALQ,Q1,Q1,Q3,GasA,Ex,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,Q1,TA,TA,Y,Q2,Q3,Q1,Q1,Q1,Q1,,MnPrv,,Q1,5,2010,WD,Normal,154000
26,20,RL,Q4,Q4,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Q2,Gd,TA,PConc,Gd,TA,No,Unf,Q1,Unf,Q1,Q4,Q4,GasA,Ex,Y,SBrkr,Q4,Q1,Q1,Q3,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,Q4,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,7,2009,WD,Normal,256300
27,20,RL,Q2,Q1,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,Q1,TA,TA,CBlock,TA,TA,Mn,BLQ,Q1,Rec,Q1,Q1,Q2,GasA,TA,Y,SBrkr,Q2,Q1,Q1,Q1,0,1,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,Q3,TA,TA,Y,Q2,Q2,Q1,Q1,Q1,Q1,,,,Q1,5,2010,WD,Normal,134800
28,20,RL,Q4,Q3,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,Q2,Gd,TA,PConc,Ex,TA,No,GLQ,Q3,Unf,Q1,Q3,Q4,GasA,Ex,Y,SBrkr,Q4,Q1,Q1,Q3,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,Q4,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,5,2010,WD,Normal,306000
29,20,RL,Q2,Q4,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,Q1,TA,TA,CBlock,TA,TA,Gd,BLQ,Q3,Unf,Q1,Q1,Q4,GasA,TA,Y,SBrkr,Q4,Q1,Q1,Q3,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,Q1,TA,TA,Y,Q2,Q3,Q1,Q1,Q1,Q1,,,,Q1,12,2006,WD,Normal,207500
30,30,RM,Q2,Q1,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,Q1,TA,TA,BrkTil,TA,TA,No,Unf,Q1,Unf,Q1,Q3,Q1,GasA,Fa,N,SBrkr,Q1,Q1,Q1,Q1,0,0,1,0,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1,Q1,Fa,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,5,2008,WD,Normal,68500
31,70,C (all),Q2,Q2,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,Q1,TA,Fa,BrkTil,TA,TA,No,Unf,Q1,Unf,Q1,Q3,Q1,GasA,TA,N,SBrkr,Q1,Q1,Q1,Q2,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,Q1,TA,Fa,N,Q1,Q2,Q1,Q1,Q1,Q1,,MnPrv,,Q1,7,2008,WD,Normal,40000
32,20,RL,Q1,Q2,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,Q1,TA,TA,CBlock,TA,TA,No,Unf,Q1,Unf,Q1,Q4,Q3,GasA,Gd,Y,SBrkr,Q3,Q1,Q1,Q2,0,0,1,1,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1,Q1,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,MnPrv,,Q1,6,2008,WD,Normal,149350
33,20,RL,Q4,Q3,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,Q1,Gd,TA,PConc,Ex,TA,Av,Unf,Q1,Unf,Q1,Q4,Q3,GasA,Ex,Y,SBrkr,Q3,Q1,Q1,Q2,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,RFn,2,Q3,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,1,2008,WD,Normal,179900
34,20,RL,Q3,Q3,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,Q1,TA,TA,CBlock,TA,TA,No,Rec,Q3,Unf,Q1,Q2,Q4,GasA,Gd,Y,SBrkr,Q4,Q1,Q1,Q3,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,Q2,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,4,2010,WD,Normal,165500
35,120,RL,Q2,Q1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,Q2,Ex,TA,PConc,Ex,TA,No,GLQ,Q3,Unf,Q1,Q2,Q4,GasA,Ex,Y,SBrkr,Q4,Q1,Q1,Q3,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,Q3,TA,TA,Y,Q2,Q2,Q1,Q1,Q1,Q1,,,,Q1,8,2007,WD,Normal,277500
36,60,RL,Q4,Q4,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Q1,Gd,TA,PConc,Ex,TA,Av,Unf,Q1,Unf,Q1,Q4,Q3,GasA,Ex,Y,SBrkr,Q3,Q2,Q1,Q4,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,Q4,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,9,2006,WD,Normal,309000
37,20,RL,Q4,Q3,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,Q1,TA,TA,PConc,Gd,TA,No,Unf,Q1,Unf,Q1,Q4,Q3,GasA,Ex,Y,SBrkr,Q3,Q1,Q1,Q1,0,0,1,1,3,1,TA,6,Typ,0,,Attchd,1995.0,Unf,2,Q4,TA,TA,Y,Q2,Q2,Q1,Q1,Q1,Q1,,,,Q1,6,2009,WD,Normal,145000
38,20,RL,Q3,Q2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,Q2,TA,TA,CBlock,TA,TA,No,Rec,Q3,Unf,Q1,Q1,Q3,GasA,Gd,Y,SBrkr,Q3,Q1,Q1,Q2,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,Q3,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,10,2009,WD,Normal,153000
39,20,RL,Q3,Q2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,Q1,TA,Gd,CBlock,TA,TA,No,GLQ,Q3,Unf,Q1,Q2,Q3,GasA,TA,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,3,1,Gd,5,Typ,0,,Detchd,1953.0,Unf,1,Q1,TA,TA,Y,Q1,Q2,Q1,Q1,Q1,Q1,,,,Q1,1,2010,WD,Abnorml,109000
40,90,RL,Q3,Q1,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,Q1,TA,TA,PConc,,,,,Q1,,Q1,Q1,Q1,GasA,TA,N,FuseP,Q3,Q1,Q1,Q2,0,0,2,0,2,2,Fa,6,Typ,0,,,,,0,Q1,,,N,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,6,2008,WD,AdjLand,82000
41,20,RL,Q4,Q2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,Q1,TA,TA,CBlock,TA,TA,No,Rec,Q2,Unf,Q1,Q2,Q3,GasA,Ex,Y,SBrkr,Q3,Q1,Q1,Q2,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,Q2,TA,TA,Y,Q1,Q3,Q1,Q1,Q1,Q1,,GdWo,,Q1,12,2006,WD,Abnorml,160000
42,20,RL,Q4,Q4,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,Q1,TA,Gd,CBlock,TA,TA,Gd,BLQ,Q3,Unf,Q1,Q2,Q4,GasA,Gd,Y,SBrkr,Q3,Q1,Q1,Q2,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,Q1,TA,TA,P,Q1,Q3,Q1,Q1,Q1,Q1,,,,Q1,7,2007,WD,Normal,170000
43,85,RL,Q1,Q2,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,Q1,TA,TA,CBlock,Gd,TA,Av,ALQ,Q3,LwQ,Q1,Q1,Q2,GasA,Gd,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,2,1,Gd,5,Typ,0,,Attchd,1983.0,RFn,2,Q3,TA,Gd,Y,Q2,Q1,Q1,Q1,Q1,Q1,,MnPrv,,Q1,12,2007,WD,Normal,144000
44,20,RL,Q1,Q2,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,Q1,TA,TA,CBlock,Gd,TA,Av,LwQ,Q1,BLQ,Q1,Q1,Q2,GasA,TA,Y,SBrkr,Q2,Q1,Q1,Q1,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,1,Q1,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,MnPrv,,Q1,7,2008,WD,Normal,130250
45,20,RL,Q3,Q2,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,,Q1,TA,TA,CBlock,TA,TA,No,ALQ,Q1,BLQ,Q1,Q2,Q3,GasA,Ex,Y,FuseA,Q3,Q1,Q1,Q2,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1,Q1,TA,TA,Y,Q1,Q1,Q1,Q1,Q1,Q1,,,,Q1,5,2006,WD,Normal,141000
